program_name,description,member_duties,program_benefits,terms,service_areas,skills,program_type,program_start_date,program_end_date,work_schedule,education_level,age_minimum,age_maximum,languages,accepting_applications,accept_start,accept_end,contact,listing_id,program_state,metro_area
Legacy Corps for Veterans & Military Families - Crystal Lake,"Legacy Corps for Veterans and Military Families is a National Direct AmeriCorps program, wherein members provide Caregiver Support Services. Members take part in a range of community-based support services targeted to veterans and military families of all ages. Services are designed to decrease caregiver / care partner burden and stress and empower the caregiver and care recipient through education and community resources to maintain and/or improve their quality of life. Quarter-time LCVMF members provide a minimum of 450 hours of combined service and training for the contracted period, and serve an average of 8-12 hours a week. Service activities include in-home respite care per week with 1-2 families that enables the caregiver to attend to essential family or personal needs, the dissemination of information to the caregiver and or care recipient on various medical conditions, coping strategies, social services, support venues, and other resources, creating and supporting peer to peer networks, caregiver / care partner transitional services, transportation (at the discretion of the subrecipient agency), childcare respite, and volunteer generation through community outreach. All activities are of a non-medical and non-personal care nature and LCVMF members are strictly prohibited from offering personal medical advice, diagnosing, and or other medical therapies. Pre-Service Training is provided, as well as ongoing training and professional development opportunities throughout the service year, up to 90 hours. This program offers other less than full-time member slot types, depending on location needs.

Further help on this page can be found by clicking here .","LCVMF AmeriCorps members serving at Veterans Path to Hope in Crystal Lake and Rockford, Illinois, provide a minimum of 450 hours of combined service and training for the contracted period, serving an average of 8-12 hours per week. Service activities include in-home respite care per week with 1-2 families that enables the caregiver to attend to essential family or personal needs, the dissemination of information to the caregiver and or care recipient on various medical conditions, coping strategies, social services, support venues, and other resources, creating and supporting peer to peer networks, caregiver / care partner transitional services, transportation (at the discretion of the subrecipient agency), childcare respite, and volunteer generation through community outreach. Training and professional development opportunities for all AmeriCorps members in this program are provided throughout the service year.","Training , Living Allowance , Education award upon successful completion of service .","Car recommended , Permits attendance at school during off hours , Permits working at another job during off hours .","['Veterans', 'Health', 'Elder Care']","['Veterans', 'Communications', 'Team Work', 'Social Services']",['AmeriCorps State / National'],09/01/2024,08/31/2025,['Part Time'],Less than High school,17,99,,From  07/31/2024  To  07/31/2025,07/31/2024,07/31/2025,"Donna Ballard-Roth
805 S McHenry Ave
Crystal Lake   IL   60014
815-321-4673
dballardroth@vphope.org
https://veteranspathtohope.org",125486,['Illinois'],
High Desert Conservation Corps - AmeriCorps Member,"Come join our crew!

Heart of Oregon Corps’ High Desert Conservation Corps (HDCC) program serves local young people ages 17-24 throughout Central Oregon, and improves over 1,000 acres of public lands a year.
 
Crews of 7-8 local young people and a Staff Crew Leader serve mostly outdoors on natural resource conservation projects. Crews complete a wide range of conservation projects, such as fire fuels reduction, fencing (enclosure/inclosure), habitat restoration, invasive species management, and hiking/biking trail maintenance, among others. Project partners include the Deschutes and Ochoco US Forest Service, Prineville BLM District, and Bend Parks & Rec, among many others!
 
This is a 14-week term, serving a minimum of 450 hours. Members will conserve, restore, and enhance the natural resources and beautify communities of Central Oregon through hands-on conservation projects. They will protect communities from wildfire through fire fuels reduction; gain experience and formal training in environmental stewardship, conservation and landscaping, while also exploring career opportunities and developing essential employability skills. Members will learn to promote community service through hands-on experience and community projects. By the end of their term, members will have contributed to the betterment of public lands and local communities of Central Oregon; be better prepared for future careers, and obtain an AmeriCorps Segal Education Award.

Further help on this page can be found by clicking here .","Members will conserve, restore, and enhance the natural resources and beautify communities of Central Oregon through hands-on conservation projects. They will protect communities from wildfire through fire fuels reduction; gain experience and formal training in environmental stewardship, conservation and landscaping, while also exploring career opportunities and developing essential employability skills. Members will learn to promote community service through hands-on experience and community projects. By the end of their term, members will have contributed to the betterment of public lands and local communities of Central Oregon; be better prepared for future careers, and obtain an AmeriCorps Segal Education Award.","Childcare assistance if eligible , Training , Education award upon successful completion of service , Health Coverage , Living Allowance .","Permits working at another job during off hours , Uniforms provided and required , Permits attendance at school during off hours , Car recommended .",['Environment'],"['Environment', 'Team Work']",['AmeriCorps State / National'],10/01/2024,09/30/2025,['Full Time'],High school diploma/GED,17,99,['English'],From  10/01/2024  To  09/30/2025,10/01/2024,09/30/2025,"Shelby Sauer
1291 NE 5th St
Bend   OR   97701
5416337834
shelby.sauer@heartoforegon.org
www.heartoforegon.org",115343,['Oregon'],
Healthy Communities,"Healthy Communities is CHC’s Public Health AmeriCorps program designed to create cohesion in vulnerable communities and to promote healthcare and support services through outreach, awareness, linkage to care and support. Healthy Communities also serves to identify the unique and integral needs of our communities and neighborhoods and to establish strategic plans to address them. Service delivery will directly address the public health crisis in vulnerable communities and make healthcare and support services accessible through flexible delivery of services. AmeriCorps members will conduct community outreach, education, patient engagement, and link patients to CHCI care and referrals to community based assistance. Additionally, AmeriCorps members will participate in statewide and local activities which promote awareness of health and health services. This is a full-time position with $23,700 living allowance completing 1700 hours during the service year. This is approximate to serving 32 hours a week for 52 weeks.  Service is anticipated to begin on September 2, 2025 and end on August 28, 2026.  AmeriCorps members do not participate in any prohibited activities as outlined by AmeriCorps.

Further help on this page can be found by clicking here .","AmeriCorps members will serve in positions that provide a variety of experiences throughout the organization. Positions are designed to increase access to health care for underserved populations & develop tomorrow's health care workforce. A mix of office work & community work can be expected and will vary based on the position. In addition to the primary duties of each position, members will have the opportunity to do a variety of organized service projects with their fellow members throughout the state. Monthly team meetings give members an opportunity to receive training on different topics, share their experiences, bond with team members, & learn more about AmeriCorps and CHC. The position also provides members with professional development training and opportunities to explore other areas of interest within the organization. AmeriCorps members do not participate in any prohibited activities as outlined by AmeriCorps.","Childcare assistance if eligible , Health Coverage , Stipend , Education award upon successful completion of service , Training , Living Allowance .","Car recommended , Permits working at another job during off hours , Permits attendance at school during off hours , Uniforms provided and required .","['Public Health AmeriCorps', 'Health', 'Community Outreach']","['Public Speaking', 'General Skills', 'Team Work', 'Social Services', 'Public Health', 'Community Organization']",['AmeriCorps State / National'],09/01/2025,08/29/2026,['Full Time'],High school diploma/GED,18,None,['Spanish'],From  06/24/2025  To  10/31/2025,06/24/2025,10/31/2025,"Raneda Porter
19 Grand St
Middletown   CT   06457
475-355-1229
porterr@chc1.com
chc1.com",126846,['Connecticut'],
AmeriCorps Polk Reads,"You will go through a two-week initial training, and you will then be placed at one of our 10 elementary schools throughout Polk County.  You will have 2-3 members serve with you at the selected school.  There you will work out of a classroom designated for the AmeriCorps Polk Reads members where you will work side by side with K-3 students who are behind in reading.  You will have a roster of students and you will work with each of them 3 times a week for 30 minutes each session using our programs curriculum.  Each month the program brings the Corps together for training and team building.  Our program currently brings aboard 38 members.

Further help on this page can be found by clicking here .","Members attend required training's and tutor students who are in K-3 classes and are behind in reading. Members work in a small team environment with other members. Duties include tutoring/mentoring K-3 students, completing paperwork in a neat, organized and timely manner, working well in a team environment.","Training , Education award upon successful completion of service , Health Coverage , Childcare assistance if eligible , Living Allowance , CPR Certification .","Permits working at another job during off hours , Uniforms provided and required , Permits attendance at school during off hours , Car recommended .","['Education', 'Children/Youth']","['Veterans', 'General Skills', 'Education', 'Teaching/Tutoring', 'Team Work']",['AmeriCorps State / National'],08/01/2024,12/15/2025,['Full Time'],High school diploma/GED,18,80,['English'],From  02/05/2024  To  12/31/2025,02/05/2024,12/31/2025,"Stephanie Narramore
1530 Shumate Dr
Bartow   FL   33830
8635340519 x208
stephanie.narramore@polk-fl.net",98346,['Florida'],
Mission: Ignite Tech 360 Senior IT Technician,"Mission: Ignite seeks an experienced Senior IT Technician to lead its IT support team and ensure the smooth operation of the organization's technology infrastructure. The ideal candidate will have a deep understanding of IT systems, strong leadership skills, and the ability to manage complex technical projects. In this role, you will guide a team of IT technicians, coordinate with other departments, and contribute to developing IT strategies. 

Responsibilities: 

Lead and mentor a team of IT technicians, providing technical guidance and support. 

Manage and prioritize IT support tickets, ensuring timely resolution and exceptional customer service. 

Plan and execute the implementation and maintenance of hardware, software, and network systems. 

Evaluate and recommend new technologies and solutions to improve efficiency and security. 

Collaborate with IT management to develop and implement IT policies and procedures. 

Coordinate with vendors and external partners to ensure effective procurement and integration of IT solutions. 

Provide senior-level troubleshooting and support for complex technical issues. 

 

Qualifications: 

Bachelor’s degree in information technology or related field; relevant certifications highly desirable (e.g., CompTIA Security+, Cisco CCNA, ITIL) 

Substantial experience in IT support and system administration roles 

In-depth knowledge of network infrastructure, virtualization, and cloud technologies 

Strong leadership and team management skills 

Excellent project management abilities with a track record of successfully delivering IT projects. 

Exceptional problem-solving skills and analytical thinking 

Effective communication skills with the ability to convey technical concepts to non-technical stakeholders.

Further help on this page can be found by clicking here .","AmeriCorps members are crucial personnel needed to fulfill the goals of Mission: Ignite’s programs, blending volunteer efforts with identified organizational goals to serve as part of the Mission: Ignite team. As ambassadors for the mission and as part of the Mission: Ignite team, AmeriCorps members will participate in professional development and training opportunities, learning various applicable skill sets that may be useful in future careers. The members will also participate in volunteer opportunities as part of AmeriCorps cohorts and develop a network of mission-minded people in the local region.","Education award upon successful completion of service , Childcare assistance if eligible , Health Coverage , Training , Stipend , Living Allowance .",Car recommended .,['Community and Economic Development'],"['Teaching/Tutoring', 'Leadership', 'Team Work', 'General Skills', 'Conflict Resolution', 'Computers/Technology']",['AmeriCorps State / National'],09/01/2024,08/31/2025,['Full Time'],Some college,17,99,['English'],From  09/01/2024  To  08/31/2025,09/01/2024,08/31/2025,"Ben Bissell
701 Seneca St
Buffalo   NY   14210
7168237248
office@missionignite.org
www.missionignite.org",120425,['New York'],
All Chicago Data and Performance VISTA,"All Chicago Making Homelessness History is a nonprofit dedicated to ending homelessness by partnering with local, state, and federal agencies. Our mission is to unite our community and resources to provide solutions that ensure and sustain housing stability.
All Chicago is seeking a mission-driven and highly organized Data and Performance VISTA to strengthen efforts in increasing efficiencies within the homeless system. Our office is in the West Loop of Chicago, Illinois, and we offer a hybrid schedule with intentional collaborative days in the office with your designated team.
The Data and Performance VISTA will enhance the capacity of the Monitoring and Capacity Building Team within All Chicago by improving the continuous quality improvement (CQI) of All Chicago’s monitoring process of agencies across the Continuum of Care (CoC).  This role involves collecting feedback from agencies on existing processes, collecting data and analyzing it to identify opportunities for improvement. 
The ideal candidate is organized, highly dependable, and skilled at collaborating with various stakeholders. Proficiency in Excel and familiarity with online platforms such as Microsoft Teams, PowerPoint, and Word is essential. Individuals with lived experience in the areas of homelessness or housing instability are encouraged to apply. 
This role offers the opportunity to engage with homelessness data for the city of Chicago and use that data to refine and improve procedures across the homelessness system. At All Chicago we provide the chance to be involved in homelessness services at a system level, understand the Continuum of Care and collective impact model, and collaborate with providers across the city. VISTAs will also access training opportunities, including best practices for homeless services and other professional development opportunities.
The project will start in June and is a 1-year service term. For more information, please email hdemus@allchicago.org.

Further help on this page can be found by clicking here .","• Complete orientation and training on the Continuum of Care, HUD and the efforts underway in Chicago to prevent and end homelessness. • Design and administer feedback surveys from agencies on the continuous quality improvement (CQI) process and analyze those results to propose improvements on monitoring processes • Participate in monitoring activities (case file review, audit practices) in order to identify areas for improvement • Assist with developing Technical Assistance materials","Childcare assistance if eligible , Training , Choice of Education Award or End of Service Stipend , Relocation Allowance , Living Allowance , Grocery Stipend , Health Coverage* , Education award upon successful completion of service .","Permits attendance at school during off hours , Permits working at another job during off hours .",['Homelessness'],"['Writing/Editing', 'Communications', 'Public Speaking', 'General Skills', 'Computers/Technology', 'Non-Profit Management', 'Social Services', 'Team Work', 'Leadership']",['AmeriCorps VISTA'],06/16/2025,06/15/2026,['Full Time'],High school diploma/GED,18,None,['English'],From  05/21/2025  To  08/01/2026,05/21/2025,08/01/2026,"Hayley Demus
651 W Washington Blvd
Chicago   IL   60661
3124487597
hdemus@allchicago.org
allchicago.org",126623,['Illinois'],['Chicago']
Gem Community Engagement Specialist,"The Gem State Public Health AmeriCorps program partners community members with non-profits across the state in paid volunteer positions called AmeriCorps positions. These positions offer community members the opportunity to receive support while volunteering with their favorite non-profit. The opportunity is offered each year from September 1st to August 31st every year. This program focuses on mental health and suicide intervention and prevention services.

Further help on this page can be found by clicking here .","Will assist in planning, organizing and engaging in The Village's Community Activities Program. Provide support during the intake process regarding educating and assisting youth sign up for the Community Activities Program. Mentor and assist youth at The Village’s pro-social and outreach activities, including educational support, service learning, and recreational programs. Help with reminder calls, track attendance, and help provide reports to prevention officers on participant’s attendance. Will provide support in supervision and oversight of youth participating in the Community Activities Program","Living Allowance , Education award upon successful completion of service , Training .","Car recommended , Uniforms provided and required .",,['None'],['AmeriCorps State / National'],09/01/2024,08/31/2025,['Full Time'],,None,None,,From  09/01/2024  To  08/31/2025,09/01/2024,08/31/2025,"Callie Dance
921 S 8th Ave
Pocatello   ID   83209
2082826457
gemstate@isu.edu",125125,['Idaho'],
VOA Texas (HOU) Public Health AmeriCorps,"The VOA Texas Public Health AmeriCorps member will work as the frontline Community Health Worker in training at the Financial Opportunity Center for individuals with low or no access in Harris County. The position will serve as a liaison between the health services and our community to facilitate access to comprehensive, quality service and health care delivery. Key responsibilities include community event participation/representation, helping client's complete applications and other paperwork and completing checks on individuals with specific health conditions. Ultimately you will work with a diverse range of people to ensure they have access and resources needed to meet their health needs while out in the community.

Further help on this page can be found by clicking here .","The VOA Texas Public Health AmeriCorps member will work as the frontline Community Health Worker in training at the Financial Opportunity Center for individuals with low or no access in Harris County. The position will serve as a liaison between the health services and our community to facilitate access to comprehensive quality service and health care delivery. Key responsibilities include community event participation/representation, helping client's complete applications and other paperwork and completing checks on individuals with specific health conditions. Ultimately you will work with a diverse range of people to ensure they have access and resources needed to meet their health needs while out in the community.","Education award upon successful completion of service , Stipend .","Uniforms provided and required , Car recommended .",,"['Community Organization', 'Social Services', 'Team Work']",['AmeriCorps State / National'],09/01/2025,09/30/2025,['Full Time'],High school diploma/GED,18,None,,From  09/01/2024  To  08/31/2025,09/01/2024,08/31/2025,"LaSonya Bishop
4808 Yale St
Houston   TX   77018
713-460-0781
lbishop@voatx.org
www.voatx.org",120941,['Texas'],['Houston/Galveston']
Kids in Tech Media and Communications VISTA,"Kids in Tech, Inc’s (KIT’s) mission is to excite, educate, and empower children to acquire skills and confidence in technology through interactive after school programs. The existing STEM educational framework does few favors for low-income children, who statistically tend to live in urban or suburban settings and be ethnic minorities. Without targeted interventions that promote STEM education for low-income and BIPOC students, their interests and potential will remain untapped. After-school STEM programs have provided evidence that, even in specialized curriculum settings, children who qualify for lunch subsidies scored lower than their counterparts who did not qualify. Elementary and middle school aged children in these programs did see improvements to their outcomes, and under-privileged groups saw the greatest gains. After-school STEM programs have demonstrated a unique learning environment that enables group-centered and hands-on-learning that make demonstrable gains in knowledge acquisition.

KIT’s after school programs have been a vital supplemental opportunity for low-income youth in Lowell schools and housing authority for the past 6 years, and expanded to serve students in Boston in 2021. Performance in STEM areas for these groups remains low in Lowell, Boston, and nationally. Thus, it is critical that after school STEM programs are able to expand to meet the needs of as more students require support and time to provide remedial education. KIT’s VISTA project will seek to prepare KIT to serve more low-income, minority students in Massachusetts by increasing the organization’s fundraising, communications, curricula, fundraising, and monitoring and evaluation (M&E), and expects to benefit 300 youth aged 8 to 14 from schools where at least 50% of students qualify for the National School Lunch Program (NSLP).

Further help on this page can be found by clicking here .","Media and Communications VISTA will highlight the stories and impact of KIT by implementing and executing communication strategies and projects across the organization. This person will report to Vista Program Supervisors and work closely with the Director of Development and Communications and Founder & CEO. The Media and Communications VISTA will include storytelling for marketing purposes and graphic design for social media, advertisements, and outreach efforts. This member will be responsible for creating and managing marketing procedures, calendars, scheduling posts, tailoring resources to different audiences (i.e., funders, partners, students and families).","Relocation Allowance , Childcare assistance if eligible , Living Allowance , Choice of Education Award or End of Service Stipend , Training , Health Coverage* .","Permits attendance at school during off hours , Permits working at another job during off hours .",['Technology'],"['Writing/Editing', 'Team Work', 'General Skills', 'Communications']",['AmeriCorps VISTA'],01/13/2025,01/12/2026,['Full Time'],College graduate,18,None,['English'],From  07/17/2024  To  12/31/2025,07/17/2024,12/31/2025,"Olu Ibrahim
660 Suffolk St
Lowell   MA   01854
9788216218
info@kidsintech.org
kidsintech.org",115834,['Massachusetts'],['Boston']
"NLADA - Community Resource Data Capacity, Santa Barbara, CA","This position will be filled on a rolling basis. Apply Today! Because the quality of justice in America should not depend on how much money a person has, National Legal Aid & Defender Association (NLADA) leads public defenders, community advocates, and civil attorneys to advance justice and expand opportunity for all by promoting excellent delivery of legal services for people who cannot afford counsel. NLADA’s AmeriCorps VISTA program, Defending Communities in Service, builds sustainable community relationships, data systems, and practices that allow public defender offices to more holistically support communities in need. This position partners with the Santa Barbara Public Defender Office to both maintain and increase funding for public defense.

Further help on this page can be found by clicking here .","The Community Resource Data Capacity VISTA will assist in building data reports accessible in real-time via Microsoft Power BI, and create data dashboards for internal and external purposes. Additionally, they will work increase our capacity to develop tools and assist in the digitization and modernization efforts of the Public Defender’s office. And lastly, they will help with overhaul our internal and external website to provide transparency with the community. We envision leveraging new and existing technologies to enable staff to deliver high-quality client services in an efficient and transparent manner.","Health Coverage* , Living Allowance , Education award upon successful completion of service , Choice of Education Award or End of Service Stipend , Training , Stipend , Childcare assistance if eligible , Relocation Allowance .","Prohibits paid work outside of the sponsoring agency at any time , Permits working at another job during off hours , Permits attendance at school during off hours , Car recommended .","['Children/Youth', 'Community and Economic Development', 'Elder Care', 'Disaster Relief', 'Education', 'Public Safety', 'Neighborhood Revitalization', 'Health', 'Housing', 'Homelessness', 'Community Outreach', 'Entrepreneur/Business', 'Hunger', 'Environment', 'Special Initiative: Promise Zones', 'Public Health AmeriCorps', 'Tribal', 'Hurricane Katrina', 'Technology', 'Ex-Offender Reentry', 'Homeland Security', 'Veterans']","['Non-Profit Management', 'Youth Development', 'General Skills', 'Recruitment', 'Trade/Construction', 'Fund raising/Grant Writing', 'Veterans', 'Team Work', 'Public Health', 'Education', 'Teaching/Tutoring', 'Law', 'Disaster Services', 'Environment', 'Writing/Editing', 'Medicine', 'First Aid', 'Public Speaking', 'Community Organization', 'Communications', 'Conflict Resolution', 'Social Services', 'Fine Arts/Crafts', 'Computers/Technology', 'Leadership', 'Business/Entrepreneur', 'Urban Planning']",['AmeriCorps VISTA'],08/25/2025,08/25/2026,['Full Time'],,18,None,,From  03/27/2025  To  08/10/2025,03/27/2025,08/10/2025,"Deepak Budwani
1100 Anacapa St
Santa Barbara   CA   93101
805-568-3470
dbudwani@countyofsb.org",120856,['California'],
